instrument,instrument_id,n_observations,n_channels,mean_impact,sum_impact,positive_frac,innovation_mean,innovation_std,innovation_abs_mean,innovation_rms,gradient_mean,gradient_abs_mean,gradient_rms,projection_mean,alignment_cosine,alignment_frac,target_variable,target_channel,p_idx,p_hpa,pair_idx,prev_bin,curr_bin,lead_step,ea,eb
atms,2,50000,22,-2.009952731896192e-05,-22.109479904174805,0.002957272808998823,0.12253441661596298,1.251461386680603,0.9831319451332092,1.2574459314346313,7.5345265031501185e-06,8.126329339575022e-05,0.0036091692745685577,-2.009952731896192e-05,-0.004428899846971035,0.002957272808998823,temperature,0,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
amsua,0,30000,15,-7.227298192447051e-05,-32.52284240722656,0.0026822222862392664,0.10308036208152771,1.3152543306350708,1.0490690469741821,1.3192874193191528,3.7132362194824964e-05,0.00019102214719168842,0.010519462637603283,-7.227298192447051e-05,-0.005207681562751532,0.0026822222862392664,temperature,0,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ssmis,5,30000,24,-7.5529428613663185e-06,-5.438118934631348,0.003097222186625004,0.0031434623524546623,1.4766324758529663,1.14431631565094,1.4766359329223633,-5.5806240197853185e-06,0.00012294879707042128,0.00783861055970192,-7.5529428613663185e-06,-0.0006525404751300812,0.003097222186625004,temperature,0,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
seviri,4,30000,16,-4.871669148087676e-07,-0.23384010791778564,0.001858333358541131,-0.29585352540016174,0.5085338950157166,0.39534398913383484,0.5883333086967468,6.463010322477203e-06,2.4529676011297852e-05,0.0015216838801279664,-4.871669148087676e-07,-0.00054416578495875,0.001858333358541131,temperature,0,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
avhrr,3,30000,3,-5.211903157942288e-07,-0.046907130628824234,0.0005444444250315428,0.3950219750404358,1.1617968082427979,0.9408338665962219,1.2271161079406738,-1.783399170562916e-07,2.361552105867304e-06,0.00010459909390192479,-5.211903157942288e-07,-0.004060530569404364,0.0005444444250315428,temperature,0,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ascat,1,18663,3,0.00022698810789734125,12.708837509155273,0.0034649663139134645,1.387545108795166,0.8487812280654907,1.4297733306884766,1.6265642642974854,0.00015021560830064118,0.0002960998099297285,0.013989001512527466,0.00022698810789734125,0.009975743480026722,0.0034649663139134645,temperature,0,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
surface_obs,8,9481,5,-0.00011940249532926828,-5.660275459289551,0.02607319876551628,0.500102698802948,0.9704880118370056,0.8246627449989319,1.0917645692825317,-0.0001748193899402395,0.0017634719843044877,0.032021429389715195,-0.00011940249532926828,-0.0034154169261455536,0.02607319876551628,temperature,0,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
radiosonde,7,2710,4,-8.625846385257319e-05,-0.9350417852401733,0.05913284048438072,1.1464874744415283,1.003101110458374,1.2739617824554443,1.5233663320541382,-7.1461581683252e-05,0.0007504218374378979,0.007583636790513992,-8.625846385257319e-05,-0.007466549519449472,0.05913284048438072,temperature,0,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
aircraft,6,14550,4,-1.3264308108773548e-05,-0.771982729434967,0.03355669975280762,-0.04024752229452133,0.726263165473938,0.49062973260879517,0.7273774743080139,0.0001288911298615858,0.00034359178971499205,0.006264514289796352,-1.3264308108773548e-05,-0.002910969778895378,0.03355669975280762,temperature,0,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
atms,2,50000,22,-9.137085726251826e-06,-10.05079460144043,0.0030263636726886034,0.12253441661596298,1.251461386680603,0.9831319451332092,1.2574459314346313,1.2738128134515136e-05,6.906229100422934e-05,0.0030956885311752558,-9.137085726251826e-06,-0.002347295405343175,0.0030263636726886034,dewpoint_temperature,1,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
amsua,0,30000,15,-5.133344166097231e-05,-23.100048065185547,0.0027533334214240313,0.10308036208152771,1.3152543306350708,1.0490690469741821,1.3192874193191528,4.2306663090130314e-05,0.00015694447210989892,0.008647498674690723,-5.133344166097231e-05,-0.004499579314142466,0.0027533334214240313,dewpoint_temperature,1,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ssmis,5,30000,24,-7.777613973303232e-06,-5.599882125854492,0.003074999898672104,0.0031434623524546623,1.4766324758529663,1.14431631565094,1.4766359329223633,-1.0272953659296036e-05,0.00010718979319790378,0.006716516334563494,-7.777613973303232e-06,-0.0007842106278985739,0.003074999898672104,dewpoint_temperature,1,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
seviri,4,30000,16,-7.88547765750991e-07,-0.3785029351711273,0.001739583327434957,-0.29585352540016174,0.5085338950157166,0.39534398913383484,0.5883333086967468,5.57580278837122e-06,1.9793542378465645e-05,0.0012261493830010295,-7.88547765750991e-07,-0.0010931063443422318,0.001739583327434957,dewpoint_temperature,1,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
avhrr,3,30000,3,2.746256768659805e-07,0.024716312065720558,0.0009555555297993124,0.3950219750404358,1.1617968082427979,0.9408338665962219,1.2271161079406738,1.799443225536379e-06,2.8532647320389515e-06,0.0001287902268813923,2.746256768659805e-07,0.0017376912292093039,0.0009555555297993124,dewpoint_temperature,1,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ascat,1,18663,3,5.73510151298251e-05,3.2110259532928467,0.0031791958026587963,1.387545108795166,0.8487812280654907,1.4297733306884766,1.6265642642974854,5.803228123113513e-05,0.00013331534864846617,0.006898542400449514,5.73510151298251e-05,0.005111079663038254,0.0031791958026587963,dewpoint_temperature,1,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
surface_obs,8,9481,5,6.616974133066833e-05,3.1367766857147217,0.022022994235157967,0.500102698802948,0.9704880118370056,0.8246627449989319,1.0917645692825317,-0.0002015087375184521,0.0014239053707569838,0.027130624279379845,6.616974133066833e-05,0.0022339357528835535,0.022022994235157967,dewpoint_temperature,1,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
radiosonde,7,2710,4,-0.00011124850425403565,-1.2059338092803955,0.06263837963342667,1.1464874744415283,1.003101110458374,1.2739617824554443,1.5233663320541382,1.2271081686776597e-05,0.0010467438260093331,0.010428748093545437,-0.00011124850425403565,-0.007002573926001787,0.06263837963342667,dewpoint_temperature,1,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
aircraft,6,14550,4,-2.1007328996347496e-06,-0.12226265668869019,0.03274914249777794,-0.04024752229452133,0.726263165473938,0.49062973260879517,0.7273774743080139,0.0001117596693802625,0.0003104987263213843,0.0056986273266375065,-2.1007328996347496e-06,-0.0005068052560091019,0.03274914249777794,dewpoint_temperature,1,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
atms,2,50000,22,5.662374746862042e-07,0.6228612065315247,0.003190909046679735,0.12253441661596298,1.251461386680603,0.9831319451332092,1.2574459314346313,-1.3760703723164625e-06,6.558741006301716e-06,0.0003182879008818418,5.662374746862042e-07,0.0014148023910820484,0.003190909046679735,u_wind,2,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
amsua,0,30000,15,-1.0526550795475487e-06,-0.473694771528244,0.0028800000436604023,0.10308036208152771,1.3152543306350708,1.0490690469741821,1.3192874193191528,-1.0119667877006577e-06,1.3403128832578659e-05,0.0006219412898644805,-1.0526550795475487e-06,-0.0012829173356294632,0.0028800000436604023,u_wind,2,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ssmis,5,30000,24,2.5463751285315084e-07,0.18333899974822998,0.0032847223337739706,0.0031434623524546623,1.4766324758529663,1.14431631565094,1.4766359329223633,-4.1826004348877177e-07,1.662251634115819e-05,0.000678384443745017,2.5463751285315084e-07,0.00025420085876248777,0.0032847223337739706,u_wind,2,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
seviri,4,30000,16,8.29298471671791e-07,0.3980632722377777,0.0019833333790302277,-0.29585352540016174,0.5085338950157166,0.39534398913383484,0.5883333086967468,-1.7083144143725804e-07,1.1239608284085989e-05,0.0004954084288328886,8.29298471671791e-07,0.002845281967893243,0.0019833333790302277,u_wind,2,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
avhrr,3,30000,3,3.2198759214452366e-08,0.0028978881891816854,0.0010777778225019574,0.3950219750404358,1.1617968082427979,0.9408338665962219,1.2271161079406738,-9.44172651173858e-09,1.5390511975965637e-07,9.796972335607279e-06,3.2198759214452366e-08,0.00267831445671618,0.0010777778225019574,u_wind,2,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ascat,1,18663,3,-1.9754761524382047e-06,-0.11060493439435959,0.0028934255242347717,1.387545108795166,0.8487812280654907,1.4297733306884766,1.6265642642974854,4.076810000697151e-07,3.096179716521874e-05,0.0008795135654509068,-1.9754761524382047e-06,-0.0013808869989588857,0.0028934255242347717,u_wind,2,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
surface_obs,8,9481,5,0.00013150479935575277,6.23398494720459,0.027634216472506523,0.500102698802948,0.9704880118370056,0.8246627449989319,1.0917645692825317,2.3442840756615624e-05,0.0002657051954884082,0.004878931678831577,0.00013150479935575277,0.0246881116181612,0.027634216472506523,u_wind,2,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
radiosonde,7,2710,4,-3.0834337394480826e-06,-0.03342442214488983,0.05802582949399948,1.1464874744415283,1.003101110458374,1.2739617824554443,1.5233663320541382,4.065082248416729e-05,0.0005140350549481809,0.006314449477940798,-3.0834337394480826e-06,-0.00032054929761216044,0.05802582949399948,u_wind,2,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
aircraft,6,14550,4,-6.305041097220965e-06,-0.36695340275764465,0.017646048218011856,-0.04024752229452133,0.726263165473938,0.49062973260879517,0.7273774743080139,2.929331685663783e-06,3.195098543073982e-05,0.0005325574893504381,-6.305041097220965e-06,-0.016276538372039795,0.017646048218011856,u_wind,2,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
atms,2,50000,22,-2.7703861178451916e-06,-3.047424793243408,0.0033672726713120937,0.12253441661596298,1.251461386680603,0.9831319451332092,1.2574459314346313,-2.100073970723315e-06,4.987264037481509e-05,0.002288338029757142,-2.7703861178451916e-06,-0.0009628027910366654,0.0033672726713120937,v_wind,3,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
amsua,0,30000,15,-4.414477734826505e-05,-19.865150451660156,0.0029311110265552998,0.10308036208152771,1.3152543306350708,1.0490690469741821,1.3192874193191528,3.568270585674327e-07,0.00013376332935877144,0.0053452905267477036,-4.414477734826505e-05,-0.006259937305003405,0.0029311110265552998,v_wind,3,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ssmis,5,30000,24,-2.8163311071693897e-05,-20.277584075927734,0.0031666667200624943,0.0031434623524546623,1.4766324758529663,1.14431631565094,1.4766359329223633,2.3341735868598334e-05,0.0001284751488128677,0.004778382834047079,-2.8163311071693897e-05,-0.003991473000496626,0.0031666667200624943,v_wind,3,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
seviri,4,30000,16,3.702512458403362e-06,1.7772059440612793,0.0021312499884516,-0.29585352540016174,0.5085338950157166,0.39534398913383484,0.5883333086967468,1.1965149496973027e-05,0.00011739323235815391,0.006411745212972164,3.702512458403362e-06,0.0009815174853429198,0.0021312499884516,v_wind,3,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
avhrr,3,30000,3,-3.575606797312503e-07,-0.032180462032556534,0.0008111111237667501,0.3950219750404358,1.1617968082427979,0.9408338665962219,1.2271161079406738,6.104438057263906e-07,1.5982627701305319e-06,0.00010826106881722808,-3.575606797312503e-07,-0.0026914842892438173,0.0008111111237667501,v_wind,3,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ascat,1,18663,3,-0.00011268419621046633,-6.309075355529785,0.0029112861957401037,1.387545108795166,0.8487812280654907,1.4297733306884766,1.6265642642974854,-2.8292239221627824e-05,0.0002538244298193604,0.006746674422174692,-0.00011268419621046633,-0.010268384590744972,0.0029112861957401037,v_wind,3,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
surface_obs,8,9481,5,0.0005024228012189269,23.817352294921875,0.02700137160718441,0.500102698802948,0.9704880118370056,0.8246627449989319,1.0917645692825317,7.598599040647969e-05,0.001840905868448317,0.030477967113256454,0.0005024228012189269,0.015099216252565384,0.02700137160718441,v_wind,3,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
